accuracy_score,balanced_accuracy_score,recall_score,precision_score,f1_score,confusion_matrix,round_number,db_number
0.6027397260273972,0.5547504025764896,0.37037037037037035,0.45454545454545453,0.40816326530612246,"[[34 12]
 [17 10]]",1,1
0.6493506493506493,0.5855539971949508,0.25806451612903225,0.6666666666666666,0.37209302325581395,"[[42  4]
 [23  8]]",1,2
0.6707317073170732,0.4871212121212121,0.09090909090909091,0.2222222222222222,0.1290322580645161,"[[53  7]
 [20  2]]",1,3
0.5316455696202531,0.5193050193050193,0.32432432432432434,0.5,0.39344262295081966,"[[30 12]
 [25 12]]",1,4
0.5844155844155844,0.5364656381486677,0.2903225806451613,0.47368421052631576,0.36,"[[36 10]
 [22  9]]",1,5
0.6636363636363637,0.6558657361249585,0.5490196078431373,0.6666666666666666,0.6021505376344086,"[[45 14]
 [23 28]]",2,1
0.6635514018691588,0.6548387096774193,0.6,0.6,0.6,"[[44 18]
 [18 27]]",2,2
0.7327586206896551,0.7230392156862745,0.6666666666666666,0.6808510638297872,0.6736842105263158,"[[53 15]
 [16 32]]",2,3
0.6160714285714286,0.6241935483870967,0.7,0.5555555555555556,0.6194690265486726,"[[34 28]
 [15 35]]",2,4
0.6181818181818182,0.6180555555555556,0.6111111111111112,0.6111111111111112,0.6111111111111112,"[[35 21]
 [21 33]]",2,5
0.6666666666666666,0.6502192982456141,0.5087719298245614,0.6590909090909091,0.5742574257425743,"[[57 15]
 [28 29]]",3,1
0.6038961038961039,0.582250341997264,0.39705882352941174,0.574468085106383,0.46956521739130436,"[[66 20]
 [41 27]]",3,2
0.6319444444444444,0.6334498834498834,0.6515151515151515,0.589041095890411,0.6187050359712231,"[[48 30]
 [23 43]]",3,3
0.6714285714285714,0.6326442721791559,0.46296296296296297,0.5952380952380952,0.5208333333333334,"[[69 17]
 [29 25]]",3,4
0.62,0.6235389318467901,0.6567164179104478,0.5641025641025641,0.606896551724138,"[[49 34]
 [23 44]]",3,5
0.5986842105263158,0.5923845193508115,0.5555555555555556,0.5147058823529411,0.5343511450381679,"[[56 33]
 [28 35]]",4,1
0.6358381502890174,0.6225371120107962,0.48717948717948717,0.6229508196721312,0.5467625899280575,"[[72 23]
 [40 38]]",4,2
0.5843373493975904,0.585075493612079,0.5238095238095238,0.6027397260273972,0.5605095541401273,"[[53 29]
 [40 44]]",4,3
0.6428571428571429,0.6508563899868247,0.6956521739130435,0.5517241379310345,0.6153846153846154,"[[60 39]
 [21 48]]",4,4
0.6717171717171717,0.6625830564784053,0.5930232558139535,0.6296296296296297,0.6107784431137725,"[[82 30]
 [35 51]]",4,5
0.6193181818181818,0.6089544513457557,0.38095238095238093,0.6808510638297872,0.48854961832061056,"[[77 15]
 [52 32]]",5,1
0.6395939086294417,0.6389690721649485,0.68,0.6355140186915887,0.6570048309178744,"[[58 39]
 [32 68]]",5,2
0.6451612903225806,0.6478578892371996,0.6896551724137931,0.6060606060606061,0.6451612903225807,"[[60 39]
 [27 60]]",5,3
0.6272189349112426,0.6198550724637681,0.5797101449275363,0.5405405405405406,0.5594405594405595,"[[66 34]
 [29 40]]",5,4
0.6388888888888888,0.6372288433507673,0.45794392523364486,0.7101449275362319,0.5568181818181819,"[[89 20]
 [58 49]]",5,5
